epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,3348.69,0.0966,0.12141,0.08584,0.78685,0,0.99988,1,0.995,0.89481,0.99988,1,0.995,0.80146,0.46347,1.93702,0.16897,0.8789,0,0.000231213,0.000231213,0.000231213
89,3385.63,0.09599,0.12078,0.08607,0.78599,0,0.99996,1,0.995,0.89666,0.99996,1,0.995,0.8012,0.46512,1.94705,0.16946,0.87896,0,0.00021471,0.00021471,0.00021471
90,3422.37,0.09164,0.11639,0.08295,0.78366,0,0.99997,1,0.995,0.89658,0.99997,1,0.995,0.80391,0.46144,2.00002,0.17004,0.87768,0,0.000198206,0.000198206,0.000198206
91,3455.02,0.07033,0.09094,0.0655,0.75782,0,0.99995,1,0.995,0.89766,0.99995,1,0.995,0.80474,0.46291,2.00582,0.168,0.88031,0,0.000181703,0.000181703,0.000181703
92,3487.15,0.06341,0.08048,0.06162,0.75798,0,0.99997,1,0.995,0.89546,0.99997,1,0.995,0.80397,0.47033,2.28891,0.17435,0.88288,0,0.0001652,0.0001652,0.0001652
93,3518.52,0.06254,0.0808,0.06237,0.75649,0,0.99997,1,0.995,0.89151,0.99997,1,0.995,0.80138,0.4785,2.29373,0.17369,0.88498,0,0.000148696,0.000148696,0.000148696
94,3549.92,0.06091,0.0782,0.06033,0.75542,0,0.99997,1,0.995,0.89316,0.99997,1,0.995,0.80165,0.47656,2.35602,0.17677,0.88487,0,0.000132193,0.000132193,0.000132193
95,3581.63,0.05925,0.07689,0.05904,0.7538,0,0.99995,1,0.995,0.89415,0.99995,1,0.995,0.80175,0.46988,2.29893,0.17303,0.88182,0,0.00011569,0.00011569,0.00011569
96,3612.93,0.05722,0.07365,0.05641,0.75568,0,0.99997,1,0.995,0.89043,0.99997,1,0.995,0.80001,0.47809,2.40118,0.17662,0.88853,0,9.91865e-05,9.91865e-05,9.91865e-05
97,3644.61,0.0561,0.07418,0.05562,0.75668,0,0.99996,1,0.995,0.89365,0.99996,1,0.995,0.8007,0.47203,2.46274,0.17423,0.88458,0,8.26832e-05,8.26832e-05,8.26832e-05
98,3675.95,0.05377,0.07142,0.05352,0.75621,0,0.99997,1,0.995,0.89465,0.99997,1,0.995,0.80281,0.47087,2.50487,0.17278,0.88286,0,6.61799e-05,6.61799e-05,6.61799e-05
99,3707.25,0.05238,0.07145,0.05193,0.75616,0,0.99994,1,0.995,0.89558,0.99994,1,0.995,0.80234,0.47296,2.51325,0.17492,0.88326,0,4.96766e-05,4.96766e-05,4.96766e-05
100,3738.79,0.05038,0.06986,0.05124,0.75689,0,0.9999,1,0.995,0.89625,0.9999,1,0.995,0.80215,0.47155,2.52077,0.17685,0.88286,0,3.31733e-05,3.31733e-05,3.31733e-05
